Brand	Fuel	Transmission	Year	KM_Driven	Engine_CC	Price
Maruti	Petrol	Manual	2020	25000	1200	550000
Hyundai	Petrol	Manual	2019	35000	1200	500000
Honda	Diesel	Manual	2018	50000	1500	620000
Toyota	Diesel	Automatic	2021	15000	1800	1200000
Tata	Petrol	Manual	2022	10000	1200	700000
Mahindra	Diesel	Manual	2020	30000	2200	1100000
Kia	Petrol	Automatic	2023	5000	1500	1350000
Hyundai	Diesel	Automatic	2021	18000	1500	950000
Maruti	CNG	Manual	2022	12000	1000	650000
Toyota	Hybrid	Automatic	2024	3000	2000	1800000
